id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
49219,49360,87713,,,,,10.076134,-64.647726,156.7398,-14.91,13.53,0.0,6.91,0.934,B9V,-0.059,-58.778999,32.391613,-141.644547,-0.00000267,0.00001441,0.0000044,2.637925636499952,-1.1283156780412125,-0.0000000722857198,0.00000006559529,,,Car,1,49219,,36.8468189147868,,,
49222,49363,87141,3954,,,,10.076759,53.891716,50.7357,-22.58,-3.84,-16.0,5.71,2.183,F5V,0.507,-26.188567,14.426261,40.989494,0.00001046,0.00000058,-0.00001378,2.6380893021293703,0.9405878871026062,-0.0000001094709291,-0.000000018616845,,,UMa,1,49222,,11.662724050819648,,,
49234,49375,87488,,,,,10.080283,-28.188688,252.5253,-27.17,11.38,0.0,6.99,-0.022,Ap (EuCr),-0.038,-195.051875,107.211871,-119.287081,0.00001025,0.00003232,0.00001228,2.639012021416076,-0.491985410246785,-0.000000131723877,0.000000055171796,,,Ant,1,49234,,88.87917198848203,AP,7.014,6.944
49252,49393,87700,,,,,10.083845,-56.897919,138.8889,3.54,17.33,0.0,6.86,1.147,F2III/IV,0.37,-66.506132,36.474908,-116.347076,-0.00000972,0.00000261,0.00000637,2.6399445101710373,-0.9930560228406625,0.0000000171624043,0.00000008401821,,,Vel,1,49252,,30.283076942657782,V336,6.886,6.836
49253,49394,87652,,,,,10.083846,-51.31362,175.1313,-29.55,11.27,0.0,6.23,0.013,B8/B9III,-0.054,-95.979731,52.639621,-136.703818,0.00000552,0.00002559,0.00000598,2.6399446984536272,-0.8955916249131163,-0.0000001432624426,0.000000054638501,,,Vel,1,49253,,86.05973411928224,,,
49261,49402,87504,3970,,40Ups2Hya,,10.085408,-13.064626,96.1538,-37.48,19.9,28.0,4.6,-0.315,B8V,-0.087,-82.143224,45.007279,-21.735618,-0.00001791,0.00002973,0.00000256,2.640353767053534,-0.2280207378181825,-0.0000001817081675,0.000000096477922,Ups-2,40,Hya,1,49261,,116.41260294104909,,,
49267,49408,87243,3958,,,,10.086219,52.371302,118.624,-14.01,-4.92,-26.0,6.31,0.939,A5IV,0.135,-63.523028,34.787558,93.948119,0.00001614,0.00000034,-0.00002279,2.6405658646790293,0.9140516522877112,-0.0000000679223966,-0.000000023852833,,,UMa,1,49267,,36.677523159949516,,,
49270,49411,87556,,,,,10.086671,-28.19704,277.7778,-26.52,6.02,0.0,6.97,-0.248,A0V,-0.015,-214.737189,117.56487,-131.251465,0.00001379,0.00003316,0.00000714,2.640684407989854,-0.4921311876243987,-0.0000001285725881,0.000000029185783,,,Ant,1,49270,,109.44602678150797,,,
49273,49413,87627,,,,,10.086873,-42.172299,124.3781,50.24,-1.98,0.0,6.53,1.056,K0III,1.055,-80.857983,44.262684,-83.502774,-0.00001384,-0.00002696,-0.00000088,2.64073730624094,-0.7360454719939624,0.0000002435703931,-0.00000000959931,,,Vel,1,49273,,32.93062701752084,,,
49277,49418,87606,3972,,,,10.087578,-36.384381,140.2525,-6.96,-12.19,28.0,6.27,0.535,K1III,1.112,-99.052601,54.199015,-83.197855,-0.00001364,0.00001286,-0.00002366,2.6409217237484683,-0.6350272511143862,-0.0000000337430322,-0.000000059098787,,,Ant,1,49277,,53.21082592667942,,,
